id,name,subject,qualification,experience,schoolId,classes,phone,salary,joiningDate
67,Mrs. Khushi Singh,Social Science,M.A,16 years,5,"[""Class 9"", ""Class 5"", ""Class 10""]",9406263116,78818,2003-12-15
68,Ms. Arjun Singh,Computer Science,M.A,11 years,5,"[""Class 4"", ""Class 6"", ""Class 9""]",9623712304,74960,2004-10-23
69,Mr. Inaya Parida,Science,B.Sc,9 years,5,"[""Class 10"", ""Class 2"", ""Class 9"", ""Class 2""]",9822533235,72725,2017-02-23
70,Mrs. Anika Nayak,Social Science,B.Sc,6 years,5,"[""Class 3"", ""Class 3""]",9273420006,84822,2012-10-25
71,Mr. Atharv Patra,Computer Science,B.A,3 years,5,"[""Class 3"", ""Class 9"", ""Class 3"", ""Class 2""]",9342582153,51990,2009-12-05
72,Mrs. Vivaan Sahu,Mathematics,B.A,25 years,5,"[""Class 6"", ""Class 5"", ""Class 10"", ""Class 2""]",9524907366,80668,2019-04-23
73,Mrs. Samarth Rout,Science,B.A,22 years,6,"[""Class 5"", ""Class 3""]",9248365059,33130,2023-09-17
74,Mrs. Krishna Pradhan,Odia,B.A,11 years,6,"[""Class 10"", ""Class 8""]",9144746445,54122,2013-07-16
75,Mr. Riya Mishra,Computer Science,M.Sc,1 years,6,"[""Class 2"", ""Class 8""]",9407757582,49732,2014-06-21
76,Mrs. Kavya Mishra,Social Science,B.Ed,9 years,6,"[""Class 4"", ""Class 8"", ""Class 5""]",9707220607,32694,2002-01-10
77,Mr. Daksh Jena,Mathematics,M.A,20 years,6,"[""Class 5"", ""Class 5"", ""Class 8"", ""Class 1""]",9200648157,52832,2019-09-17
78,Mr. Raghav Pradhan,Hindi,B.Ed,4 years,6,"[""Class 4"", ""Class 2"", ""Class 1""]",9362871893,64525,2014-12-04
79,Mrs. Rudra Jena,Odia,B.Sc,5 years,6,"[""Class 9"", ""Class 6""]",9478144438,71137,2016-08-28
80,Mrs. Khushi Singh,Social Science,B.Ed,11 years,6,"[""Class 5"", ""Class 10"", ""Class 10"", ""Class 3""]",9983047656,82129,2003-04-02
81,Mr. Jai Parida,Hindi,B.Ed,20 years,6,"[""Class 10"", ""Class 6"", ""Class 7""]",9499420515,55881,2004-05-24
82,Mrs. Divyansh Das,Social Science,B.Ed,14 years,6,"[""Class 3"", ""Class 4"", ""Class 2"", ""Class 4""]",9855874414,26885,2013-09-13
83,Mr. Kavya Tripathy,English,B.Ed,20 years,6,"[""Class 9"", ""Class 3""]",9727851500,51943,2016-07-08
84,Mr. Saanvi Kar,Hindi,M.Sc,21 years,6,"[""Class 6"", ""Class 7"", ""Class 8"", ""Class 2""]",9942939779,53440,2003-05-01
85,Mrs. Pihu Pradhan,Science,B.Ed,13 years,6,"[""Class 3"", ""Class 6"", ""Class 3"", ""Class 10""]",9627459309,59313,2019-11-12
86,Ms. Atharv Panda,Computer Science,B.Ed,19 years,6,"[""Class 9"", ""Class 8"", ""Class 7""]",9136175845,54822,2003-12-11
87,Mrs. Darsh Tripathy,Social Science,M.Sc,11 years,6,"[""Class 3"", ""Class 3"", ""Class 10""]",9616614422,63257,2002-04-30
88,Mrs. Anaya Kar,Hindi,B.A,10 years,6,"[""Class 6"", ""Class 10"", ""Class 2""]",9613467577,42773,2020-10-11
89,Mr. Avni Biswal,Mathematics,B.Ed,2 years,6,"[""Class 2"", ""Class 4""]",9438175075,84332,2009-02-01
90,Mr. Yash Jena,Computer Science,B.Sc,4 years,7,"[""Class 4"", ""Class 10""]",9662321569,44021,2012-02-05
91,Ms. Krishna Senapati,Hindi,M.Sc,2 years,7,"[""Class 7"", ""Class 5""]",9945913177,32803,2022-12-26
92,Mr. Rudra Mohapatra,Odia,M.Sc,22 years,7,"[""Class 2"", ""Class 5"", ""Class 6""]",9747206325,33845,2010-08-22
93,Ms. Abhinav Mishra,Science,B.A,13 years,7,"[""Class 10"", ""Class 9"", ""Class 10"", ""Class 5""]",9534189264,47641,2021-07-16
94,Mr. Krishna Mohapatra,Social Science,B.Sc,24 years,7,"[""Class 10"", ""Class 4""]",9557333929,45579,2024-03-17
95,Mrs. Rudra Das,Odia,B.Ed,23 years,7,"[""Class 8"", ""Class 4"", ""Class 6"", ""Class 7""]",9550458751,62270,2003-03-20
96,Ms. Anaya Das,Hindi,M.Sc,14 years,7,"[""Class 2"", ""Class 10""]",9612341192,26622,2005-03-13
97,Mr. Shaurya Rout,English,M.A,2 years,7,"[""Class 8"", ""Class 5"", ""Class 4""]",9575548046,63141,2012-04-10
98,Mr. Dev Patel,English,M.A,24 years,7,"[""Class 5"", ""Class 9"", ""Class 9"", ""Class 10""]",9128282429,83039,2005-01-25
99,Mrs. Anika Das,Mathematics,B.Sc,12 years,7,"[""Class 9"", ""Class 8"", ""Class 1""]",9171047806,64058,2016-10-16
100,Mr. Navya Kar,Mathematics,B.Ed,4 years,7,"[""Class 8"", ""Class 5""]",9815611599,52304,2003-03-06
101,Mrs. Inaya Nayak,English,B.A,12 years,7,"[""Class 7"", ""Class 1"", ""Class 10"", ""Class 5""]",9705116898,77721,2002-09-15
102,Mr. Myra Das,English,M.Sc,19 years,8,"[""Class 6"", ""Class 1"", ""Class 6"", ""Class 6""]",9281323675,53020,2009-04-10
103,Mrs. Pihu Mohanty,Odia,B.Ed,10 years,8,"[""Class 5"", ""Class 2"", ""Class 3"", ""Class 4""]",9271659909,51045,2012-03-03
104,Mr. Ayaan Swain,Hindi,B.Sc,18 years,8,"[""Class 2"", ""Class 8""]",9193706791,61971,2001-02-06
105,Mr. Shanaya Panda,Computer Science,M.Sc,17 years,8,"[""Class 3"", ""Class 8""]",9371197812,70261,2013-12-06
106,Ms. Raghav Jena,Mathematics,M.A,22 years,8,"[""Class 5"", ""Class 10"", ""Class 5""]",9614627161,35527,2019-05-14
107,Ms. Rishabh Naik,Computer Science,B.A,22 years,8,"[""Class 10"", ""Class 3""]",9486834062,59692,2008-04-16
108,Mrs. Sai Sharma,Science,B.Sc,15 years,8,"[""Class 9"", ""Class 10""]",9873522368,31184,2019-02-20
109,Mr. Sai Mohanty,Social Science,B.A,8 years,8,"[""Class 2"", ""Class 9"", ""Class 6"", ""Class 6""]",9422439952,65620,2005-07-14
110,Ms. Vivaan Mohanty,Computer Science,M.Sc,18 years,8,"[""Class 10"", ""Class 1"", ""Class 2""]",9607241357,75830,2024-05-21
111,Mrs. Inaya Mohapatra,Mathematics,M.Sc,3 years,8,"[""Class 2"", ""Class 2"", ""Class 2""]",9383905545,40457,2013-01-24
112,Mr. Krishna Panda,Hindi,B.A,13 years,8,"[""Class 8"", ""Class 3"", ""Class 1""]",9820805980,39721,2014-10-21
113,Mr. Riya Biswal,Computer Science,M.Sc,1 years,8,"[""Class 8"", ""Class 7"", ""Class 3"", ""Class 8""]",9812380218,43701,2021-10-03
114,Mr. Darsh Sahoo,Science,B.A,7 years,8,"[""Class 9"", ""Class 4"", ""Class 7""]",9222913278,59600,2003-11-24
115,Mr. Shaurya Biswal,Odia,M.Sc,13 years,8,"[""Class 10"", ""Class 1""]",9508448693,39920,2024-02-03
116,Ms. Arnav Sharma,Computer Science,M.A,18 years,8,"[""Class 7"", ""Class 6"", ""Class 8"", ""Class 4""]",9952651456,47656,2003-03-31
117,Ms. Kabir Lenka,Odia,M.A,16 years,8,"[""Class 4"", ""Class 4""]",9384192549,68827,2011-08-13
118,Ms. Rishabh Das,Hindi,B.A,7 years,9,"[""Class 9"", ""Class 1"", ""Class 10""]",9533585871,66197,2002-07-04
119,Mrs. Myra Singh,Odia,B.A,16 years,9,"[""Class 2"", ""Class 7"", ""Class 10""]",9695889380,46773,2014-11-19
120,Ms. Rudra Behera,Hindi,M.A,25 years,9,"[""Class 10"", ""Class 3"", ""Class 4""]",9690704555,29043,2009-05-28
121,Mrs. Ishaan Panda,Hindi,M.Sc,8 years,9,"[""Class 8"", ""Class 1"", ""Class 10"", ""Class 2""]",9442850978,26750,2024-05-13
122,Mrs. Krishna Maharana,Computer Science,B.Sc,21 years,9,"[""Class 2"", ""Class 6"", ""Class 5"", ""Class 10""]",9223556024,40210,2012-05-29
123,Ms. Vedant Patel,Science,B.Ed,23 years,9,"[""Class 1"", ""Class 4""]",9723445995,76392,2001-10-30
124,Mrs. Vihaan Dash,Odia,B.A,23 years,9,"[""Class 7"", ""Class 10"", ""Class 8""]",9927271216,30752,2002-11-14
125,Ms. Daksh Biswal,English,B.Ed,4 years,9,"[""Class 6"", ""Class 2""]",9908530615,61307,2003-11-16
126,Ms. Ayaan Tripathy,Social Science,M.A,13 years,9,"[""Class 2"", ""Class 10"", ""Class 7"", ""Class 3""]",9970803319,69658,2002-02-14
127,Ms. Harsh Parida,Mathematics,M.A,3 years,9,"[""Class 9"", ""Class 3"", ""Class 10""]",9975555050,68495,2001-11-01
128,Ms. Raghav Das,Computer Science,B.Ed,17 years,10,"[""Class 8"", ""Class 3"", ""Class 2"", ""Class 6""]",9958536224,43607,2004-12-31
129,Mrs. Saanvi Nayak,Social Science,B.Sc,11 years,10,"[""Class 7"", ""Class 6"", ""Class 10"", ""Class 4""]",9990950970,63537,2008-01-28
130,Mr. Vihaan Das,Social Science,B.A,8 years,10,"[""Class 3"", ""Class 9""]",9442737514,54648,2017-03-17
131,Mrs. Inaya Singh,Science,M.Sc,16 years,10,"[""Class 3"", ""Class 7""]",9341170441,43916,2019-01-12
132,Ms. Diya Kar,Computer Science,B.Sc,8 years,10,"[""Class 9"", ""Class 5"", ""Class 1"", ""Class 6""]",9134163861,29510,2003-06-25
133,Mrs. Krishna Sahoo,Hindi,B.Sc,15 years,10,"[""Class 1"", ""Class 5"", ""Class 3""]",9893152988,27027,2007-11-21
134,Mrs. Aarav Patra,Hindi,B.Sc,4 years,10,"[""Class 5"", ""Class 8""]",9517261099,28837,2009-08-31
135,Mrs. Avni Mohapatra,Computer Science,B.A,8 years,10,"[""Class 1"", ""Class 7"", ""Class 9""]",9548780505,82879,2017-10-27
136,Mrs. Reyansh Behera,Odia,M.A,19 years,10,"[""Class 4"", ""Class 2"", ""Class 8"", ""Class 9""]",9490353172,31821,2006-04-09
137,Ms. Neil Swain,English,B.Sc,25 years,10,"[""Class 6"", ""Class 5""]",9841212006,40884,2008-08-11
138,Mr. Reyansh Jena,Mathematics,B.Sc,3 years,10,"[""Class 1"", ""Class 10"", ""Class 6""]",9626382368,36900,2021-11-09
139,Ms. Aryan Das,Social Science,M.A,12 years,10,"[""Class 5"", ""Class 10""]",9306879828,66798,2024-04-04
140,Mrs. Divyansh Naik,Odia,M.Sc,14 years,10,"[""Class 8"", ""Class 2"", ""Class 6"", ""Class 6""]",9917922900,76504,2016-04-25
141,Ms. Raghav Dash,Social Science,B.Sc,23 years,10,"[""Class 8"", ""Class 8"", ""Class 9""]",9295474776,31880,2002-11-03
142,Mr. Kavya Barik,Mathematics,B.A,17 years,11,"[""Class 3"", ""Class 1"", ""Class 6"", ""Class 9""]",9417189460,31353,2001-07-14
143,Mr. Aarav Dash,Science,B.Sc,22 years,11,"[""Class 6"", ""Class 3"", ""Class 6"", ""Class 1""]",9579335041,77931,2022-01-30
144,Mr. Navya Maharana,English,B.Ed,7 years,11,"[""Class 8"", ""Class 5"", ""Class 9"", ""Class 4""]",9736366772,31807,2012-01-06
145,Mr. Jai Jena,Science,B.A,15 years,11,"[""Class 3"", ""Class 8"", ""Class 2""]",9917189950,70927,2003-10-01
146,Mr. Diya Jena,Mathematics,M.Sc,10 years,11,"[""Class 5"", ""Class 4"", ""Class 3"", ""Class 2""]",9210892610,54458,2002-11-12
147,Mr. Atharv Das,Computer Science,B.Ed,5 years,11,"[""Class 4"", ""Class 5""]",9940801239,76317,2002-01-25
148,Mrs. Yash Kar,English,B.Ed,11 years,11,"[""Class 5"", ""Class 1"", ""Class 3"", ""Class 10""]",9437566637,79623,2019-03-16
149,Mr. Riya Sharma,Social Science,M.A,19 years,11,"[""Class 8"", ""Class 7"", ""Class 1"", ""Class 1""]",9627265832,46765,2022-03-13
150,Mrs. Rishabh Singh,Social Science,B.Sc,6 years,11,"[""Class 6"", ""Class 1"", ""Class 3""]",9342391510,72089,2002-06-19
151,Mr. Divyansh Parida,Odia,M.A,25 years,11,"[""Class 3"", ""Class 9""]",9809518522,36122,2022-07-04
152,Ms. Anaya Patel,Hindi,B.Ed,1 years,11,"[""Class 1"", ""Class 3"", ""Class 4""]",9777005716,65382,2006-01-17
153,Mr. Diya Mohapatra,Odia,B.Ed,2 years,11,"[""Class 6"", ""Class 4""]",9718388431,84620,2007-02-17
154,Mr. Neil Patra,Social Science,M.A,20 years,11,"[""Class 8"", ""Class 7""]",9357767799,59980,2003-08-12
155,Mrs. Prisha Patel,Mathematics,M.Sc,25 years,11,"[""Class 9"", ""Class 5"", ""Class 10"", ""Class 1""]",9794799725,36024,2022-10-18
156,Ms. Reyansh Behera,Hindi,B.A,17 years,11,"[""Class 7"", ""Class 7""]",9556324178,28027,2010-01-08
157,Ms. Arjun Naik,Hindi,B.A,9 years,11,"[""Class 4"", ""Class 6"", ""Class 4"", ""Class 4""]",9104658016,65726,2009-02-13
158,Mr. Anaya Mishra,Science,B.Sc,12 years,11,"[""Class 1"", ""Class 7""]",9685485827,70204,2018-10-13
159,Mr. Shivansh Tripathy,Science,M.A,7 years,11,"[""Class 2"", ""Class 10""]",9493037583,61210,2020-12-04
160,Mrs. Anaya Lenka,Mathematics,B.A,14 years,11,"[""Class 7"", ""Class 4"", ""Class 9"", ""Class 5""]",9233698696,68537,2006-03-28
161,Mrs. Saanvi Sahu,Odia,B.Sc,18 years,12,"[""Class 1"", ""Class 7"", ""Class 7"", ""Class 6""]",9947751025,78313,2017-12-30
162,Mrs. Vihaan Behera,Computer Science,B.Ed,24 years,12,"[""Class 6"", ""Class 3"", ""Class 5"", ""Class 2""]",9717892019,59930,2007-06-18
163,Mr. Aanya Pradhan,Social Science,B.Ed,8 years,12,"[""Class 2"", ""Class 4"", ""Class 7""]",9309147960,43942,2019-08-23
164,Ms. Vihaan Barik,Social Science,B.Sc,14 years,12,"[""Class 10"", ""Class 6"", ""Class 4"", ""Class 2""]",9932280477,59999,2004-11-13
165,Ms. Riya Senapati,Odia,M.Sc,8 years,12,"[""Class 9"", ""Class 3"", ""Class 6""]",9735263142,52766,2017-07-09
166,Mr. Aarav Biswal,English,B.Ed,24 years,12,"[""Class 9"", ""Class 3"", ""Class 9""]",9950560022,69180,2017-03-02
167,Ms. Aryan Barik,Odia,M.Sc,12 years,12,"[""Class 4"", ""Class 2"", ""Class 10"", ""Class 10""]",9871332019,77737,2019-06-07
168,Mrs. Kabir Singh,Computer Science,M.Sc,3 years,12,"[""Class 2"", ""Class 1""]",9288607109,76972,2004-02-20
169,Mr. Divyansh Swain,Mathematics,B.Ed,21 years,12,"[""Class 5"", ""Class 7"", ""Class 4"", ""Class 8""]",9688732413,83834,2001-06-19
170,Ms. Anika Panda,Computer Science,B.Ed,14 years,12,"[""Class 7"", ""Class 7"", ""Class 7""]",9647394222,32270,2018-10-16
171,Mrs. Navya Mohapatra,Odia,M.Sc,21 years,12,"[""Class 6"", ""Class 6""]",9178242703,51441,2008-02-18
172,Mrs. Om Sahu,Social Science,M.Sc,7 years,12,"[""Class 7"", ""Class 5"", ""Class 10"", ""Class 5""]",9203147865,46438,2005-06-11
173,Mrs. Pihu Kar,Science,M.Sc,13 years,12,"[""Class 1"", ""Class 9"", ""Class 7""]",9337922299,29179,2023-09-12
174,Ms. Aadhya Sharma,Mathematics,B.Ed,11 years,13,"[""Class 1"", ""Class 8""]",9586811300,80363,2016-10-31
175,Ms. Vedant Sharma,Science,B.Sc,12 years,13,"[""Class 4"", ""Class 1""]",9813719759,82715,2009-01-18
176,Ms. Shaurya Parida,English,M.Sc,9 years,13,"[""Class 1"", ""Class 2"", ""Class 5"", ""Class 10""]",9155016253,64095,2022-02-12
177,Mr. Vedant Tripathy,English,M.A,25 years,13,"[""Class 2"", ""Class 6""]",9994610604,41797,2010-06-26
178,Ms. Khushi Sharma,English,B.A,6 years,13,"[""Class 6"", ""Class 3""]",9533213147,80155,2018-07-10
179,Mrs. Rishabh Barik,Odia,B.Sc,16 years,13,"[""Class 4"", ""Class 2"", ""Class 1""]",9982457545,26180,2008-10-24
180,Ms. Reyansh Kar,Social Science,B.Ed,1 years,13,"[""Class 6"", ""Class 6"", ""Class 7""]",9641916157,70907,2021-01-17
181,Mrs. Khushi Kar,English,B.Ed,22 years,13,"[""Class 6"", ""Class 9"", ""Class 5"", ""Class 7""]",9644125327,84735,2023-10-13
182,Mr. Divyansh Kar,Science,B.Sc,13 years,13,"[""Class 2"", ""Class 4""]",9586655152,66120,2006-12-29
183,Mr. Reyansh Rout,Hindi,B.Sc,11 years,13,"[""Class 4"", ""Class 9"", ""Class 3"", ""Class 2""]",9538840396,72868,2015-06-22
184,Mr. Shanaya Panda,Mathematics,B.A,16 years,13,"[""Class 9"", ""Class 1""]",9340712781,52183,2011-01-31
185,Ms. Anaya Mishra,English,M.Sc,7 years,13,"[""Class 1"", ""Class 5"", ""Class 4""]",9495080584,49507,2018-11-03
186,Mrs. Aditya Panda,Computer Science,B.A,20 years,13,"[""Class 1"", ""Class 3"", ""Class 6"", ""Class 9""]",9708004176,74322,2020-05-04
187,Mrs. Shanaya Mishra,Science,M.A,19 years,13,"[""Class 6"", ""Class 2""]",9977750431,56733,2014-08-25
188,Mr. Anika Sahoo,Social Science,M.A,14 years,13,"[""Class 2"", ""Class 9""]",9478327225,44784,2015-05-07
189,Mrs. Abhinav Das,Science,M.A,6 years,13,"[""Class 3"", ""Class 3""]",9265919849,62250,2010-04-24
190,Mrs. Aryan Naik,Science,B.A,10 years,13,"[""Class 6"", ""Class 6"", ""Class 1""]",9125530187,69167,2005-02-17
191,Mr. Aanya Jena,English,B.Sc,11 years,14,"[""Class 2"", ""Class 5"", ""Class 4"", ""Class 6""]",9652703180,52448,2011-10-25
192,Mr. Shaurya Rout,Social Science,M.Sc,23 years,14,"[""Class 6"", ""Class 6""]",9220967916,84155,2014-10-13
193,Mrs. Riya Jena,Social Science,B.A,17 years,14,"[""Class 6"", ""Class 2"", ""Class 1"", ""Class 9""]",9670812788,54318,2019-09-27
194,Mrs. Kavya Das,Odia,M.A,25 years,14,"[""Class 9"", ""Class 9""]",9847905407,60364,2006-04-17
