id,name,class,section,rollNo,fatherName,motherName,dateOfBirth,address,phone,schoolId,attendance,marks
23,Atharv Parida,Class 3,E,0023,Mr. Kavya Parida,Mrs. Reyansh Parida,2011-11-06,"House 456, Lane 1, Cuttack",9362712965,1,90,"{""odia"": 58, ""mathematics"": 80, ""hindi"": 50, ""social_science"": 60}"
24,Aditya Pradhan,Class 5,B,0024,Mr. Avni Pradhan,Mrs. Pihu Pradhan,2013-11-21,"House 456, Road 3, Puri",9702868533,1,83,"{""english"": 43, ""mathematics"": 41, ""computer_science"": 76, ""odia"": 83, ""social_science"": 66}"
25,Diya Parida,Class 2,E,0025,Mr. Atharv Parida,Mrs. Pihu Parida,2015-01-22,"House 456, Road 3, Mayurbhanj",9281780939,1,95,"{""hindi"": 80, ""odia"": 66, ""science"": 41, ""social_science"": 45}"
26,Aryan Rout,Class 4,A,0026,Mr. Aditya Rout,Mrs. Kian Rout,2015-01-28,"House 456, Road 3, Puri",9816316949,1,97,"{""mathematics"": 66, ""social_science"": 47, ""english"": 43, ""hindi"": 85, ""computer_science"": 49}"
27,Aryan Sahoo,Class 2,C,0027,Mr. Kiaan Sahoo,Mrs. Kavya Sahoo,2012-11-26,"House 456, Street 2, Puri",9792331178,1,94,"{""odia"": 51, ""english"": 93, ""hindi"": 91, ""science"": 60}"
28,Kian Mohanty,Class 1,D,0028,Mr. Rishabh Mohanty,Mrs. Arnav Mohanty,2012-11-30,"Village, Lane 1, Cuttack",9453729800,1,76,"{""science"": 87, ""social_science"": 47, ""english"": 66}"
29,Rishabh Kar,Class 10,D,0029,Mr. Divyansh Kar,Mrs. Riya Kar,2011-05-30,"House 456, Lane 1, Puri",9434829511,1,97,"{""english"": 73, ""social_science"": 55, ""computer_science"": 90, ""hindi"": 61, ""odia"": 73, ""mathematics"": 69, ""science"": 71}"
30,Daksh Sharma,Class 6,A,0030,Mr. Daksh Sharma,Mrs. Pari Sharma,2013-07-12,"Plot 123, Street 2, Puri",9617790694,1,81,"{""mathematics"": 85, ""english"": 86, ""odia"": 63, ""hindi"": 44, ""social_science"": 93, ""computer_science"": 91}"
31,Yash Singh,Class 10,D,0031,Mr. Avni Singh,Mrs. Divyansh Singh,2011-11-14,"House 456, Road 3, Mayurbhanj",9556005345,1,89,"{""hindi"": 51, ""science"": 69, ""odia"": 94, ""english"": 91, ""mathematics"": 53, ""social_science"": 57, ""computer_science"": 56}"
32,Neil Mohanty,Class 8,A,0032,Mr. Divyansh Mohanty,Mrs. Arnav Mohanty,2011-12-26,"Village, Road 3, Balasore",9918579158,1,83,"{""hindi"": 89, ""social_science"": 41, ""science"": 85, ""mathematics"": 48, ""computer_science"": 74, ""odia"": 89, ""english"": 68}"
33,Khushi Pradhan,Class 3,A,0033,Mr. Neil Pradhan,Mrs. Inaya Pradhan,2014-02-26,"House 456, Street 2, Cuttack",9133743030,1,82,"{""social_science"": 92, ""computer_science"": 91, ""english"": 64, ""mathematics"": 52}"
34,Diya Kumar,Class 9,B,0034,Mr. Vedant Kumar,Mrs. Vihaan Kumar,2012-02-18,"Plot 123, Road 3, Puri",9560608848,1,96,"{""english"": 67, ""science"": 60, ""mathematics"": 86, ""computer_science"": 51, ""odia"": 68, ""social_science"": 69, ""hindi"": 71}"
35,Saanvi Sahoo,Class 5,A,0035,Mr. Kabir Sahoo,Mrs. Prisha Sahoo,2011-05-18,"House 456, Lane 1, Mayurbhanj",9578783658,1,90,"{""english"": 58, ""odia"": 61, ""science"": 75, ""mathematics"": 63, ""social_science"": 95}"
36,Om Das,Class 3,C,0036,Mr. Om Das,Mrs. Anika Das,2011-01-06,"Plot 123, Street 2, Khurda",9408141644,1,94,"{""hindi"": 72, ""mathematics"": 60, ""odia"": 55, ""english"": 59}"
37,Dev Sahu,Class 6,C,0037,Mr. Daksh Sahu,Mrs. Krishna Sahu,2013-04-04,"Plot 123, Lane 1, Mayurbhanj",9524424883,1,95,"{""social_science"": 80, ""computer_science"": 40, ""odia"": 70, ""mathematics"": 74, ""science"": 81, ""hindi"": 74}"
38,Shivansh Biswal,Class 9,E,0038,Mr. Aarav Biswal,Mrs. Darsh Biswal,2013-03-17,"Plot 123, Lane 1, Cuttack",9724829850,1,80,"{""hindi"": 44, ""odia"": 84, ""social_science"": 76, ""mathematics"": 47, ""english"": 60, ""computer_science"": 56, ""science"": 79}"
39,Myra Mohapatra,Class 1,A,0039,Mr. Shanaya Mohapatra,Mrs. Yash Mohapatra,2012-08-29,"Village, Lane 1, Mayurbhanj",9918173336,1,87,"{""hindi"": 93, ""social_science"": 67, ""english"": 83}"
40,Saanvi Kumar,Class 2,B,0040,Mr. Kiaan Kumar,Mrs. Saanvi Kumar,2014-03-29,"Village, Road 3, Cuttack",9773059265,1,87,"{""odia"": 82, ""social_science"": 56, ""english"": 53, ""science"": 69}"
41,Arjun Samantaray,Class 8,D,0041,Mr. Rishabh Samantaray,Mrs. Krishna Samantaray,2011-08-23,"House 456, Road 3, Mayurbhanj",9211193476,1,95,"{""mathematics"": 83, ""computer_science"": 53, ""odia"": 43, ""social_science"": 77, ""hindi"": 48, ""science"": 71, ""english"": 55}"
42,Raghav Sharma,Class 9,E,0042,Mr. Myra Sharma,Mrs. Aryan Sharma,2014-12-22,"Plot 123, Road 3, Cuttack",9484483019,1,83,"{""english"": 47, ""hindi"": 81, ""science"": 73, ""odia"": 92, ""social_science"": 77, ""mathematics"": 73, ""computer_science"": 64}"
43,Shanaya Singh,Class 10,C,0043,Mr. Ishaan Singh,Mrs. Shivansh Singh,2014-04-09,"Plot 123, Lane 1, Cuttack",9474910095,1,85,"{""odia"": 67, ""science"": 70, ""english"": 50, ""computer_science"": 70, ""hindi"": 64, ""mathematics"": 50, ""social_science"": 67}"
44,Anaya Naik,Class 5,D,0044,Mr. Arnav Naik,Mrs. Harsh Naik,2014-07-27,"Village, Road 3, Cuttack",9147883693,1,80,"{""odia"": 92, ""science"": 49, ""english"": 55, ""social_science"": 85, ""mathematics"": 88}"
45,Daksh Mohanty,Class 10,D,0045,Mr. Khushi Mohanty,Mrs. Krishna Mohanty,2012-07-24,"Village, Street 2, Balasore",9226750743,1,82,"{""computer_science"": 53, ""odia"": 49, ""hindi"": 78, ""science"": 46, ""mathematics"": 53, ""social_science"": 67, ""english"": 93}"
46,Aanya Lenka,Class 8,C,0046,Mr. Sai Lenka,Mrs. Vivaan Lenka,2015-06-25,"Plot 123, Lane 1, Cuttack",9132529832,1,88,"{""computer_science"": 63, ""science"": 81, ""odia"": 73, ""hindi"": 83, ""english"": 52, ""social_science"": 55, ""mathematics"": 53}"
47,Jai Singh,Class 3,D,0047,Mr. Anika Singh,Mrs. Harsh Singh,2010-11-25,"Village, Road 3, Cuttack",9444821083,1,96,"{""odia"": 40, ""mathematics"": 55, ""social_science"": 90, ""hindi"": 67}"
48,Shaurya Rout,Class 2,E,0048,Mr. Prisha Rout,Mrs. Arjun Rout,2013-06-22,"Plot 123, Lane 1, Cuttack",9456059087,1,84,"{""social_science"": 87, ""computer_science"": 91, ""hindi"": 60, ""mathematics"": 46}"
49,Kavya Das,Class 8,A,0049,Mr. Rudra Das,Mrs. Myra Das,2015-03-01,"House 456, Road 3, Puri",9738525186,1,81,"{""hindi"": 89, ""odia"": 69, ""computer_science"": 44, ""science"": 76, ""english"": 89, ""social_science"": 82, ""mathematics"": 60}"
50,Kian Swain,Class 4,C,0050,Mr. Raghav Swain,Mrs. Anaya Swain,2014-10-03,"Village, Lane 1, Mayurbhanj",9519453034,1,98,"{""english"": 65, ""hindi"": 80, ""social_science"": 87, ""odia"": 48, ""science"": 61}"
51,Vedant Samantaray,Class 10,D,0051,Mr. Vedant Samantaray,Mrs. Rishabh Samantaray,2012-01-23,"Village, Street 2, Balasore",9621988005,1,84,"{""odia"": 58, ""computer_science"": 64, ""hindi"": 57, ""english"": 93, ""mathematics"": 87, ""science"": 81, ""social_science"": 47}"
52,Krishna Mohanty,Class 10,A,0052,Mr. Dev Mohanty,Mrs. Ayaan Mohanty,2011-05-17,"Plot 123, Lane 1, Mayurbhanj",9583449443,1,89,"{""english"": 45, ""social_science"": 91, ""computer_science"": 86, ""science"": 47, ""mathematics"": 94, ""odia"": 44, ""hindi"": 82}"
53,Rishabh Dash,Class 5,D,0053,Mr. Shaurya Dash,Mrs. Abhinav Dash,2012-08-05,"House 456, Lane 1, Cuttack",9597935793,1,90,"{""hindi"": 71, ""social_science"": 58, ""odia"": 92, ""english"": 90, ""computer_science"": 70}"
54,Ishaan Barik,Class 1,A,0054,Mr. Arjun Barik,Mrs. Anaya Barik,2015-05-04,"Plot 123, Lane 1, Puri",9647208654,1,86,"{""computer_science"": 93, ""english"": 58, ""hindi"": 69}"
55,Vedant Das,Class 6,A,0055,Mr. Sai Das,Mrs. Samarth Das,2012-08-26,"Village, Road 3, Khurda",9761261768,1,87,"{""science"": 93, ""odia"": 75, ""computer_science"": 81, ""mathematics"": 94, ""hindi"": 91, ""social_science"": 55}"
56,Sai Tripathy,Class 2,E,0056,Mr. Aadhya Tripathy,Mrs. Kian Tripathy,2014-11-09,"Village, Road 3, Cuttack",9545210232,1,87,"{""mathematics"": 83, ""english"": 95, ""odia"": 61, ""computer_science"": 43}"
57,Prisha Parida,Class 1,A,0057,Mr. Yash Parida,Mrs. Kabir Parida,2014-08-18,"Plot 123, Road 3, Mayurbhanj",9507285011,1,75,"{""mathematics"": 42, ""social_science"": 66, ""computer_science"": 41}"
58,Khushi Jena,Class 6,E,0058,Mr. Aadhya Jena,Mrs. Shaurya Jena,2014-07-26,"Plot 123, Lane 1, Mayurbhanj",9104682756,1,81,"{""english"": 91, ""odia"": 86, ""computer_science"": 69, ""social_science"": 68, ""hindi"": 81, ""mathematics"": 72}"
59,Ayaan Rout,Class 7,A,0059,Mr. Arnav Rout,Mrs. Arjun Rout,2012-09-27,"Village, Street 2, Mayurbhanj",9674093744,1,88,"{""odia"": 79, ""hindi"": 80, ""english"": 48, ""mathematics"": 72, ""science"": 50, ""social_science"": 45}"
60,Daksh Panda,Class 5,E,0060,Mr. Rudra Panda,Mrs. Abhinav Panda,2013-01-11,"Plot 123, Lane 1, Mayurbhanj",9794227913,1,76,"{""hindi"": 46, ""mathematics"": 48, ""computer_science"": 60, ""science"": 76, ""social_science"": 40}"
61,Diya Singh,Class 6,D,0061,Mr. Daksh Singh,Mrs. Kiaan Singh,2013-08-03,"Village, Lane 1, Khurda",9318413129,1,90,"{""computer_science"": 77, ""social_science"": 86, ""odia"": 80, ""mathematics"": 71, ""english"": 42, ""science"": 42}"
62,Aanya Lenka,Class 10,A,0062,Mr. Ishaan Lenka,Mrs. Anaya Lenka,2012-02-01,"Plot 123, Street 2, Puri",9543457702,1,93,"{""hindi"": 74, ""computer_science"": 49, ""english"": 85, ""social_science"": 77, ""odia"": 67, ""mathematics"": 85, ""science"": 41}"
63,Aadhya Samantaray,Class 6,D,0063,Mr. Vihaan Samantaray,Mrs. Prisha Samantaray,2012-08-20,"House 456, Road 3, Khurda",9231880494,1,90,"{""computer_science"": 61, ""social_science"": 81, ""hindi"": 57, ""english"": 72, ""mathematics"": 40, ""odia"": 43}"
64,Diya Swain,Class 4,D,0064,Mr. Navya Swain,Mrs. Riya Swain,2014-07-28,"Plot 123, Road 3, Khurda",9899867988,1,79,"{""hindi"": 95, ""english"": 93, ""science"": 60, ""computer_science"": 82, ""social_science"": 53}"
65,Rishabh Sahu,Class 10,C,0065,Mr. Vihaan Sahu,Mrs. Neil Sahu,2011-10-23,"Plot 123, Street 2, Cuttack",9729749886,1,94,"{""english"": 91, ""social_science"": 57, ""mathematics"": 74, ""hindi"": 56, ""science"": 53, ""computer_science"": 82, ""odia"": 72}"
66,Harsh Rout,Class 6,C,0066,Mr. Shivansh Rout,Mrs. Pihu Rout,2013-03-10,"Plot 123, Street 2, Cuttack",9664908612,1,91,"{""social_science"": 81, ""english"": 65, ""science"": 93, ""mathematics"": 42, ""computer_science"": 86, ""odia"": 64}"
67,Abhinav Lenka,Class 8,B,0067,Mr. Neil Lenka,Mrs. Aditya Lenka,2013-10-16,"House 456, Lane 1, Khurda",9493755485,1,90,"{""english"": 49, ""social_science"": 72, ""science"": 62, ""mathematics"": 51, ""hindi"": 71, ""computer_science"": 52, ""odia"": 88}"
68,Krishna Behera,Class 6,B,0068,Mr. Prisha Behera,Mrs. Khushi Behera,2011-05-28,"Plot 123, Lane 1, Puri",9410446391,1,97,"{""hindi"": 67, ""science"": 74, ""social_science"": 94, ""mathematics"": 65, ""odia"": 68, ""english"": 52}"
69,Om Das,Class 7,A,0069,Mr. Aarav Das,Mrs. Kian Das,2015-01-31,"House 456, Street 2, Mayurbhanj",9445400646,1,94,"{""computer_science"": 49, ""social_science"": 85, ""odia"": 79, ""science"": 64, ""hindi"": 64, ""english"": 72}"
70,Rudra Dash,Class 5,E,0070,Mr. Jai Dash,Mrs. Vedant Dash,2014-06-25,"Village, Street 2, Mayurbhanj",9268553559,1,95,"{""social_science"": 50, ""computer_science"": 45, ""mathematics"": 91, ""odia"": 47, ""hindi"": 56}"
71,Avni Lenka,Class 5,C,0071,Mr. Vivaan Lenka,Mrs. Kian Lenka,2014-08-04,"House 456, Lane 1, Mayurbhanj",9528700658,1,97,"{""odia"": 58, ""science"": 68, ""mathematics"": 93, ""social_science"": 63, ""computer_science"": 54}"
72,Om Patra,Class 4,C,0072,Mr. Neil Patra,Mrs. Arjun Patra,2011-05-13,"Plot 123, Lane 1, Khurda",9348216416,1,93,"{""odia"": 87, ""science"": 50, ""hindi"": 73, ""mathematics"": 52, ""social_science"": 76}"
73,Harsh Sharma,Class 10,D,0073,Mr. Aarav Sharma,Mrs. Pari Sharma,2014-03-24,"House 456, Lane 1, Puri",9940760785,1,76,"{""science"": 49, ""odia"": 88, ""english"": 86, ""computer_science"": 80, ""social_science"": 56, ""mathematics"": 73, ""hindi"": 47}"
74,Inaya Mishra,Class 4,C,0074,Mr. Neil Mishra,Mrs. Krishna Mishra,2010-11-16,"Village, Street 2, Cuttack",9635020288,1,75,"{""odia"": 75, ""social_science"": 68, ""computer_science"": 46, ""english"": 93, ""hindi"": 48}"
75,Samarth Mishra,Class 1,E,0075,Mr. Arjun Mishra,Mrs. Pari Mishra,2011-07-09,"Village, Road 3, Khurda",9575898655,1,77,"{""odia"": 83, ""mathematics"": 82, ""english"": 63}"
76,Shanaya Mallick,Class 2,C,0076,Mr. Reyansh Mallick,Mrs. Jai Mallick,2011-11-08,"Village, Lane 1, Balasore",9945023411,1,95,"{""english"": 93, ""science"": 50, ""mathematics"": 80, ""computer_science"": 75}"
77,Krishna Samantaray,Class 3,B,0077,Mr. Avni Samantaray,Mrs. Pari Samantaray,2013-06-28,"Plot 123, Lane 1, Puri",9960161780,1,96,"{""hindi"": 88, ""computer_science"": 70, ""science"": 67, ""social_science"": 64}"
78,Vedant Pradhan,Class 6,E,0078,Mr. Aanya Pradhan,Mrs. Aditya Pradhan,2012-05-05,"House 456, Lane 1, Cuttack",9895193530,1,77,"{""hindi"": 63, ""science"": 59, ""mathematics"": 41, ""odia"": 95, ""english"": 95, ""social_science"": 72}"
79,Kian Mohapatra,Class 1,C,0079,Mr. Aanya Mohapatra,Mrs. Vihaan Mohapatra,2015-04-03,"Plot 123, Road 3, Mayurbhanj",9721562048,1,93,"{""computer_science"": 55, ""english"": 51, ""hindi"": 82}"
80,Samarth Panda,Class 5,B,0080,Mr. Shivansh Panda,Mrs. Om Panda,2012-01-01,"Village, Lane 1, Balasore",9718716133,1,81,"{""mathematics"": 40, ""computer_science"": 58, ""science"": 75, ""odia"": 56, ""english"": 62}"
81,Kabir Sharma,Class 7,E,0081,Mr. Aditya Sharma,Mrs. Atharv Sharma,2012-07-01,"Village, Lane 1, Cuttack",9189598028,1,97,"{""mathematics"": 83, ""social_science"": 82, ""science"": 82, ""english"": 88, ""odia"": 60, ""computer_science"": 45}"
82,Pari Parida,Class 6,D,0082,Mr. Avni Parida,Mrs. Aryan Parida,2011-02-21,"Plot 123, Street 2, Puri",9182204666,1,89,"{""english"": 78, ""mathematics"": 46, ""science"": 91, ""hindi"": 93, ""computer_science"": 78, ""social_science"": 51}"
83,Vivaan Dash,Class 3,D,0083,Mr. Rishabh Dash,Mrs. Kavya Dash,2012-09-10,"Plot 123, Road 3, Mayurbhanj",9375209296,1,85,"{""science"": 70, ""mathematics"": 94, ""odia"": 93, ""computer_science"": 84}"
84,Abhinav Biswal,Class 1,D,0084,Mr. Ayaan Biswal,Mrs. Darsh Biswal,2014-05-28,"Village, Lane 1, Balasore",9178825478,1,84,"{""english"": 54, ""hindi"": 71, ""mathematics"": 83}"
85,Arnav Mohapatra,Class 2,D,0085,Mr. Pihu Mohapatra,Mrs. Anika Mohapatra,2015-06-21,"Plot 123, Road 3, Khurda",9573843902,1,91,"{""english"": 69, ""social_science"": 82, ""odia"": 55, ""hindi"": 65}"
86,Avni Panda,Class 7,C,0086,Mr. Shivansh Panda,Mrs. Navya Panda,2014-08-30,"Village, Street 2, Puri",9814330252,1,76,"{""english"": 58, ""social_science"": 95, ""mathematics"": 95, ""science"": 87, ""odia"": 61, ""computer_science"": 46}"
87,Kavya Mishra,Class 9,E,0087,Mr. Shaurya Mishra,Mrs. Kavya Mishra,2014-03-30,"House 456, Street 2, Mayurbhanj",9246904293,1,83,"{""english"": 60, ""social_science"": 59, ""science"": 86, ""computer_science"": 59, ""hindi"": 70, ""odia"": 47, ""mathematics"": 47}"
88,Kiaan Maharana,Class 7,D,0088,Mr. Vivaan Maharana,Mrs. Arjun Maharana,2010-10-06,"Village, Road 3, Puri",9720893958,1,97,"{""science"": 69, ""mathematics"": 75, ""hindi"": 92, ""social_science"": 46, ""computer_science"": 82, ""english"": 81}"
89,Navya Pradhan,Class 2,B,0089,Mr. Vihaan Pradhan,Mrs. Shanaya Pradhan,2015-07-06,"Village, Road 3, Mayurbhanj",9918433051,1,91,"{""science"": 82, ""mathematics"": 63, ""computer_science"": 74, ""odia"": 43}"
90,Neil Tripathy,Class 8,D,0090,Mr. Anika Tripathy,Mrs. Vivaan Tripathy,2012-12-21,"House 456, Lane 1, Puri",9946643894,1,90,"{""odia"": 63, ""science"": 86, ""english"": 40, ""social_science"": 74, ""computer_science"": 75, ""mathematics"": 46, ""hindi"": 74}"
91,Prisha Senapati,Class 2,E,0091,Mr. Vihaan Senapati,Mrs. Om Senapati,2010-10-04,"Village, Street 2, Cuttack",9455041134,1,75,"{""hindi"": 86, ""social_science"": 58, ""mathematics"": 81, ""odia"": 86}"
92,Vihaan Kumar,Class 9,B,0092,Mr. Aadhya Kumar,Mrs. Aarav Kumar,2011-11-16,"House 456, Road 3, Puri",9164390210,1,76,"{""science"": 70, ""mathematics"": 72, ""computer_science"": 66, ""hindi"": 57, ""english"": 66, ""social_science"": 86, ""odia"": 81}"
93,Shanaya Panda,Class 2,A,0093,Mr. Daksh Panda,Mrs. Ishaan Panda,2013-04-05,"Plot 123, Street 2, Khurda",9646627757,1,95,"{""odia"": 64, ""social_science"": 48, ""mathematics"": 76, ""science"": 61}"
94,Aarav Sharma,Class 3,C,0094,Mr. Kabir Sharma,Mrs. Ishaan Sharma,2012-12-21,"Village, Lane 1, Puri",9818555319,1,82,"{""hindi"": 62, ""science"": 78, ""mathematics"": 83, ""social_science"": 71}"
95,Aanya Patra,Class 7,C,0095,Mr. Aanya Patra,Mrs. Dev Patra,2012-11-19,"House 456, Lane 1, Mayurbhanj",9602522724,1,98,"{""mathematics"": 49, ""social_science"": 67, ""odia"": 43, ""computer_science"": 68, ""science"": 73, ""english"": 54}"
96,Aanya Naik,Class 8,E,0096,Mr. Yash Naik,Mrs. Rudra Naik,2012-01-16,"Plot 123, Street 2, Mayurbhanj",9594766595,1,79,"{""english"": 76, ""computer_science"": 45, ""science"": 92, ""mathematics"": 45, ""social_science"": 45, ""odia"": 60, ""hindi"": 46}"
97,Ishaan Behera,Class 3,E,0097,Mr. Shanaya Behera,Mrs. Atharv Behera,2011-02-20,"Village, Street 2, Khurda",9611697710,1,89,"{""computer_science"": 85, ""odia"": 45, ""mathematics"": 62, ""hindi"": 58}"
98,Inaya Nayak,Class 3,B,0098,Mr. Atharv Nayak,Mrs. Shanaya Nayak,2013-12-24,"Plot 123, Road 3, Khurda",9329704612,1,87,"{""computer_science"": 55, ""odia"": 47, ""mathematics"": 54, ""social_science"": 47}"
99,Reyansh Das,Class 7,D,0099,Mr. Aditya Das,Mrs. Aarav Das,2015-03-04,"House 456, Lane 1, Cuttack",9877887048,1,81,"{""hindi"": 54, ""mathematics"": 58, ""english"": 76, ""computer_science"": 46, ""social_science"": 48, ""science"": 50}"
100,Prisha Tripathy,Class 7,E,0100,Mr. Kian Tripathy,Mrs. Myra Tripathy,2014-01-01,"Plot 123, Road 3, Puri",9664267867,1,85,"{""computer_science"": 65, ""mathematics"": 86, ""hindi"": 41, ""english"": 67, ""odia"": 88, ""science"": 70}"
101,Shanaya Mohapatra,Class 5,D,0101,Mr. Myra Mohapatra,Mrs. Pihu Mohapatra,2012-07-17,"Plot 123, Lane 1, Cuttack",9224831151,1,86,"{""hindi"": 80, ""mathematics"": 87, ""science"": 71, ""computer_science"": 69, ""social_science"": 83}"
102,Myra Dash,Class 10,E,0102,Mr. Saanvi Dash,Mrs. Atharv Dash,2014-09-25,"House 456, Lane 1, Puri",9481848665,1,94,"{""english"": 47, ""hindi"": 70, ""odia"": 65, ""computer_science"": 81, ""social_science"": 51, ""mathematics"": 56, ""science"": 74}"
103,Aanya Kar,Class 3,D,0103,Mr. Vedant Kar,Mrs. Kian Kar,2014-01-15,"Plot 123, Road 3, Khurda",9805807531,1,77,"{""odia"": 68, ""science"": 48, ""english"": 85, ""computer_science"": 65}"
